mlb_api_id,team_abbreviation,status,2026,acquired
660644,SAN,A1,0.7,D 2016
592178,PON,FA1,4.5,T 10/25 (DEL)
663460,SCS,FA1,11.10600447,T 11/25 (PON)
621111,ECB,FA1,10.908,D 2016
607481,WYO,FA1,0.74,FA 1/23 (G)
669394,PTR,A1,1.309928,D 2018
686228,RIV,O,0,D 2021
680732,CHI,O1,0.5,T 11/22 (CHA)
656271,RIV,A2,0.7,T 1/19 (HIG)
676475,MEM,O3,0.7,D 2020
669203,NOR,FA3,23.111033,D 2016
621114,JAC,FA,0,FA 4/25
681347,GIL,O1,0.5,T 1/23 (EMP)
683737,CHA,O2,0.6,T 1/24 (GIL)
671732,LAK,O3,0.7,T 11/23 (PGF)
676130,GIL,O2,0.6,T 1/23 (DEL)
621439,DEL,FA3,8.600001,FA 1/24 (G)
676609,CHA,FA1,4.12776,FA 1/24 (G)
650893,EMP,FA2,0.770129,FA 1/26
665795,GIL,A1,3.283606388,T 7/24 (BBS)
665828,LRR,A1,0.5,D 2016
695506,SAR,O1,0.5,D 2024
683357,WYO,O,0,T 11/23 (PGF)
669743,PTR,FA1,1.328181,FA 1/23 (G)
702070,CLI,O1,0.5,D 2022
691406,SCS,O2,0.6,T 11/23 (BAR)
692225,ECB,O1,0.4,D 2023
669134,SIL,O3,0.4,T 10/22 (BBS)
672744,LRR,O1,0.4,T 7/20 (STU)
656288,NOR,FA,0.83098,D 2018
686563,ECB,O2,0.5,D 2022
666974,SAR,A1,0.56,FA 4/23
676282,BBS,O2,0.6,T 7/24 (GIL)
686527,PUG,O3,0.7,D 2019
605170,SPR,FA1,1.391376,T 11/17 (CAR)
666185,JAC,A3,0.74,T 6/14 (SPR)
681481,PON,A1,1.542121634,T 1/23 (CHA)
471911,CHA,FA1,6.426,FA 1/24 (G)
682998,SIL,A1,5.577949,D 2019
694497,SAR,O3,0.7,D 2020
671213,ECB,A1,0.7,D 2018
676508,MAI,O1,0.5,D 2021
592206,PTR,FA1,13.384958,D 2010
622491,MAI,FA2,14.951067,T 11/23 (CLI)
650489,JAC,FA1,12.132911,FA 1/26
676917,LAK,O1,0.5,D 2020
656302,PUG,FA4,20.88115066,T 11/22 (CHA)
677944,SAN,O2,0.491,T 10/22 (SPR)
605177,CHA,FA1,0.74,FA 1/24 (G)
696149,SCS,O,0,D 2021
665953,SAN,FA1,0.4,FA 1/26
547973,GIL,FA1,2.750578,T 10/25 (VAN)
656305,NOR,HD1,3.054949,T 7/15 (SIL)
665862,DEL,A2,7.608861,T 11/23 (BBS)
683409,NOR,O2,0,D 2022
694192,GIL,O2,0.6,D 2022
701675,WYO,O,0,D 2022
650644,SAN,FA1,3.9539772,D 2016
664199,CLI,FA1,0.5,FA 1/25
672016,WYO,O1,0.5,D 2021
682729,PON,O1,0.5,T 1/26 (VAN)
664076,PUG,FA1,2.56118327,T 4/25 (SCS)
665019,VAN,A1,1.0448,D 2018
676391,PON,A2,4.521335221,T 11/25 (BBS)
805904,BBS,O1,0.5,R5 2025 (PTR)/D 2022
543037,PTR,FA3,7.902632,FA 1/26
686555,NEW,O2,0.6,FA 4/25
624424,LAK,FA1,10.63125,FA 1/24 (G)
665052,MEM,O1,0.4004,T 1/20 (NEW)
575929,DEL,FA1,10.346478,T 11/21 (BAR)
672710,LRR,A1,0.4,T 11/20 (SCS)
661388,MAI,A2,6.019508341,D 2016
571578,VAN,FA1,6.273776,FA 1/26
692030,SPR,O,0,T 10/25 (DEL)
621043,NOR,FA,5.915513,T 2/25 (MIN)
666126,SAN,FA1,0.75,FA 1/26
641482,CLI,FA3,16,FA 1/25
543056,PHO,FA1,3.045854011,FA 1/23 (G)
681297,DEL,O3,0.7,T 12/23 (PUG)
641487,SIL,FA1,6.575237,FA 1/25
676710,STL,A1,0.7,T 10/22 (NEW)
686611,WYO,O2,0.6,D 2023
688760,PON,O,0,D 2019
622503,EMP,FA1,0.4,FA 1/26
681867,MEM,O2,0.407608,FA 1/24
676979,DEL,A2,13.750303,T 3/24 (SPR)
630105,CHI,FA1,6.067247012,T 11/25 (SPR)
699625,NEW,O ,0,D 2022
691718,SCS,O2,0.6,T 1/25 (JAC)
665833,ECB,O3,0.975655488,D 2017
674444,SCS,O1,0.412584,FA 7/25
518585,STL,FA1,2.9792532,T 1/24 (NEW)
702674,CHA,O1,0.4,T 7/25 (DEL)
518595,SIL,FA1,4.492574,FA 1/26
506433,SIL,FA1,1.25435,FA 1/26
669722,EMP,O,0,T 11/22 (SPR)
680779,WYO,O3,0.4,D 2021
682829,MEM,O3,0.7,D 2021
660787,PON,FA1,0.4,FA 1/26
660853,PTR,FA2,0.48,FA 1/25
594798,LRR,FA2,28.507674,FA 1/26
657557,STL,FA1,1.117748,T 1/26 (VAN)
680728,NEW,O2,0.426,D 2021
800050,CHI,O,0,D 2023
676356,LAK,O2,0.6,D 2019
543101,LRR,FA1,0.4,FA 1/26
672282,SAC,A1,1.002491,D 2020
646240,LAK,FA3,12.3617228,T 4/17 (BOU)
701305,SHS,FA3,0.708897,FA 1/26
621242,CHA,FA1,7.606321,T 11/23 (BBS)
553869,CHA,FA1,2.501628,FA 1/26
700270,MEM,O,0,D 2023
673237,RIV,O3,0.7,D 2018
664747,SAR,A1,0.4,FA 1/22 (G)
650490,STL,FA1,21.641568,FA 1/24 (G)
693307,PON,O1,0.5,T 3/24 (SCS)
690928,JAC,O1,0.5,D 2022
689266,SAN,FA1,0,FA 8/25
801403,MEM,O1,0.4,D 2018
622554,ECB,FA1,1.3571076,D 2016
691176,WYO,O1,0.5,T 1/23 (PON)
680977,SPR,FA4,10.08,T 7/25 (VAN)
666808,DEL,A1,0.586436,T 11/25 (SCS)
686668,EMP,O3,0.7,T 6/25 (SIL)
676263,DEL,O1,0.5,T 10/25 (PON)
643289,NOR,FA,3.624019,T 11/17 (MIN)
680776,CHI,A2,7.914897946,D 2018
679922,LAK,O,0,D 2019
677649,MAI,A1,0.468776,D 2018
661395,PHO,A2,4.940275977,R5 2021 (KCC)
702332,GIL,O1,0.5,T 11/23 (SPR)
813349,ECB,O,0,D 2023
671109,RIV,O,0,D 2020
669242,LAK,FA3,5.034779,T 11/25 (SCS)
669364,LRR,O2,0.6,T 4/23 (MIN)
621107,VAN,FA3,9.351065196,T 11/25 (BBS ) G
685126,CHI,O2,0.4,FA 8/25
693821,SAR,O3,0.431448,D 2020
805811,SCS,O,0,D 2023
671284,DEL,O,0,D 2022
686642,MEM,O,0,D 2021
666464,NOR,O3,0,FA 1/24
687952,WYO,O3,0.4,D 2021
669438,PON,FA1,0.48,FA 4/25
663536,LRR,MLC,0,T 7/20 (MIN)
608650,CHA,O1,0.49975,CW 1/22
663671,SAC,FA1,0.4,FA 1/26
543135,BBS,FA1,16.8,T 11/25 (SHS) G
668674,PUG,O3,0.7,T 1/18 (BOU)
669289,MEM,A3,0.888,T 11/17 (NIL)
683155,SHS,O2,0.4,D 2019
608032,PUG,FA2,5.41708,FA 1/26
669093,LRR,O2,0.6,D 2017
642731,RIV,A2,0.7700928,T 2/26 (SAR)
688138,SAC,O1,0.4,D 2023
664126,MEM,FA2,3.72378,T 2/25 (CHA)
663559,WYO,A2,0.769186492,T 5/22 (SPR)
571657,PUG,FA1,2.0276568,T 4/25 (BBS)
815083,PON,O,0,D 2024
676534,EMP,FA1,1.707928974,T 1/25 (BBS)
607200,CHA,FA1,2.5,FA 1/24 (G)
676439,WYO,FA2,2,FA 1/26
663372,MEM,A1,0.7,D 2018
657571,BBS,FA2,2.1,FA 1/25
621053,LAK,FA1,0.74,FA 1/25
666023,SHS,O3,0.7,T 10/25 (SCS)
820862,WYO,FA1,0.4,FA 1/26
665877,NEW,O3,0.4,FA 8/25
692585,BBS,O1,0,T 10/25
681676,ECB,O2,0.5,D 2023
678606,SAR,O3,0.7,FA 11/24
670036,NEW,FA1,0.4,T 11/25 (SAC)
701581,VAN,O2,0.5,T 10/25 (GIL)
640448,SHS,FA1,2.06388,FA 1/24 (G)
680755,CLI,O1,0.5,D 2018
683157,SHS,O,0,D 2019
690916,GIL,O1,0.4,D 2022
666149,SAC,O2,0.6,D 2019
656427,SAN,FA1,12.0170664,T 7/23 (MIN)
666150,WYO,O3,0.4028,T 5/22 (SPR)
623167,EMP,FA1,0.4,FA 1/26
527038,CHA,FA1,0.504,FA 1/25
804668,CLI,O,0.4,T 11/24 (BBS)
689254,NEW,O1,0.4,D 2022
695670,CLI,O,0.4,D 2021
663743,SPR,FA1,0.74,T 11/23 (NEW)
641584,PHO,A2,0.6,T 11/20 (CAR)
664034,SAN,FA1,4.5805284,D 2015
670102,DEL,FA1,1.2,T 7/25 (MAI)
681047,SCS,O1,0.5,R5 2025 (WYO)
624428,STL,FA2,3.840179,FA 1/26
607536,CHI,FA1,4.747215287,FA 1/25
690976,SIL,O1,0.4,T 6/25 (EMP)
683227,BBS,O1,0.4,D 2024
518692,CLI,FA3,18.282752,FA 1/26
671289,WYO,O3,0.405,T 6/21 (SCS)
686217,SPR,O3,0.7,D 2021
608331,LAK,HD3,10.687976,T 11/18 (QCL)
670770,VAN,A1,1.616316594,D 2016
681807,BBS,O3,0.4328,T 4/25 (PUG)
690924,PHO,O1,0.4,D 2021
608334,LRR,FA1,0.4,FA 1/26
690978,SCS,O1,0.5,R5 2025 (ECB)/D 2020
681892,PHO,FA2,0.4,FA 1/24 (G)
683769,MAI,O3,0.7,D 2019
657424,SHS,FA2,0.4,FA 1/26
606149,EMP,FA1,0.4,FA 1/25
668678,SHS,FA4,17.666148,FA 1/26
676395,BBS,FA1,0.93744,T 5/25 (SPR)
672580,CLI,O3,0.7,D2018
805299,GIL,O,0,T 7/25 (SAC)
691373,JAC,O,0,D 2022
472610,PON,FA1,0.81,FA 1/24 (G)
554340,PUG,FA1,0.9828,FA 1/24 (G)
666969,SPR,A2,1.53873,T 1/25 (SCS)
670329,STL,FA1,0.4,T 1/26 (PON)
671277,VAN,A3,1.8046856,T 1/26 (PON)
